test_index,method,truth,estimate,sd,q05,q95,covers90,width90
61,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[310.3473080431372,80.01081233376927,211.4265169360507]","[42.18539832431261,27.733541399927063,28.429147762565275]","[245.33777539652576,37.783151162708926,166.60100636059096]","[387.41469557909375,127.1767393742058,259.5388005114666]","[true,true,true]","[142.076920182568,89.39358821149688,92.93779415087565]"
62,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[307.0916031347597,74.42773523191914,191.69903159152176]","[41.412697193287684,26.514305864899555,26.44301858771474]","[245.87039337727748,34.43781934476254,152.0215447422049]","[385.8479036777188,119.44667691158818,237.8661507577242]","[true,true,true]","[139.97751030044134,85.00885756682564,85.8446060155193]"
63,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[374.1600642082191,30.432965906494466,188.62187746443277]","[50.17500115359613,28.329565663798338,28.82953325134041]","[297.81127338389183,-13.451073163093303,146.65143447987788]","[463.8005729077826,77.56167187306335,239.1673635754575]","[true,true,true]","[165.9892995238908,91.01274503615664,92.51592909557962]"
64,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[385.8102445360251,93.96950420196698,207.3220954419791]","[48.3775025485148,31.08391853766536,28.590905578342305]","[311.0396546659981,45.470773220677415,161.60851415466362]","[466.7952401601473,147.8732664434105,254.97036089877]","[true,true,true]","[155.75558549414916,102.40249322273309,93.36184674410637]"
65,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[303.6576706177875,33.77857253327575,153.72377318487418]","[42.081158116148345,23.26682113127642,19.852287379413358]","[243.5609669261391,-1.9342314425672817,127.59019278253999]","[382.5525629232736,73.31931322855013,190.45505674527112]","[true,true,true]","[138.99159599713454,75.25354467111741,62.864863962731135]"
66,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[306.6200069424662,70.21717558588881,188.74854685088013]","[41.1760869386119,26.56962548103327,25.837966373053604]","[247.7929039649533,30.362089656319384,150.2640197449548]","[385.16877201496885,114.12548777765481,234.44151235657836]","[true,true,true]","[137.37586805001555,83.76339812133543,84.17749261162356]"
67,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[342.9679316590491,84.39792696186599,186.35294576352007]","[44.57630084866751,27.361365970580817,26.46857192296482]","[275.9179104564508,42.6721164108568,147.0996051969975]","[424.9842747396008,130.8840112419127,232.05622573507077]","[true,true,true]","[149.06636428315,88.2118948310559,84.95662053807328]"
68,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[280.1997927989161,48.024563485731484,162.07725539314183]","[37.42073501268963,23.16772865210636,20.727096937591618]","[228.69201472472497,13.055249781222388,133.51408246032577]","[351.19833632839703,87.56332988746364,199.6002743015748]","[true,true,true]","[122.50632160367206,74.50808010624125,66.08619184124905]"
69,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[315.56888824709125,35.49698141212076,167.8561362663917]","[44.54526387277859,24.920001667689267,23.6701442436818]","[251.12960775522143,-1.878746658912605,135.94207910736168]","[399.4359710791017,77.82671710421775,211.33622715298054]","[true,true,true]","[148.30636332388028,79.70546376313035,75.39414804561886]"
70,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[317.6728674183024,102.30824018585359,212.04282465373012]","[40.83864091597027,27.289182880015975,28.076576353370825]","[256.23229648574574,60.15692296257496,166.85371278855052]","[389.63823244529976,149.31287000852114,259.04494753657025]","[true,true,true]","[133.40593595955403,89.15594704594619,92.19123474801972]"
71,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[326.0481184641394,51.193205791289635,174.6124162027391]","[44.40729196671856,26.62440553965083,24.419827455626567]","[261.72847628508606,11.818003960947502,140.75230457212416]","[409.16179785499696,96.1767361492202,218.5492585866636]","[true,true,true]","[147.4333215699109,84.3587321882727,77.79695401453944]"
72,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[344.74160181285043,77.90381072683692,193.45524353917668]","[45.66514869067375,28.530304039853327,27.31615399827012]","[276.240011577684,34.386218210880095,152.2208902037599]","[426.64545303574107,125.97805213290324,239.194086036106]","[true,true,true]","[150.40544145805706,91.59183392202314,86.97319583234611]"
73,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[377.5306384625867,91.40752801803238,244.46914156782717]","[50.11074729393478,33.39241292423293,29.251166169036896]","[300.16579097967843,38.12016568738609,191.38194228536153]","[464.1828134265434,148.52989094266115,289.2441414108847]","[true,true,false]","[164.01702244686498,110.40972525527506,97.86219912552318]"
74,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[256.757407558261,75.84633774664188,183.01026640505125]","[29.234092835898018,22.113905339165747,23.54285238823923]","[215.98997923683012,40.85818105837731,148.31881237765757]","[309.7580257876929,112.74044901781379,224.8547582867703]","[false,true,true]","[93.76804655086275,71.88226795943648,76.53594590911274]"
75,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[355.8486538791531,66.22374733227451,219.06983391379072]","[47.8815711212933,31.33141537429461,30.385639806456627]","[283.93075625635544,18.316669512522747,168.81998122115303]","[442.45060853625967,118.73179774088328,269.41949175671425]","[true,true,true]","[158.51985227990423,100.41512822836053,100.59951053556122]"
76,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[399.2880099814855,87.51672636440927,166.76593741653437]","[48.107240027498676,27.71607623217611,23.790592574731143]","[324.55095226287443,44.0903431302479,133.88424426995633]","[480.1663571531046,135.2654700486762,210.14307886840547]","[true,true,true]","[155.6154048902302,91.1751269184283,76.25883459844914]"
77,rough pilot-only NPE,"[332.15273677999994,70.39821371,184.62656960000004]","[338.478729513917,61.45791032330218,133.2631605812247]","[43.35521126168096,22.724810598065943,14.733234060791657]","[273.5171683579056,26.384490961846833,115.5907254607707]","[415.3206389369841,99.25057610759129,161.74745012460627]","[true,true,false]","[141.80347057907852,72.86608514574445,46.156724663835575]"
