truth_index,truth_label,method,grid_index,radius,angle_degrees,h_x,h_y,truth_delta,mean_estimated_delta,mse_across_datasets,coverage95,mean_width95
1,center,Linear,35,37.38680114692877,67.5,14.307309388057778,34.540900365716986,1.7964308461898613,1.7955166143852517,0.00029572456165446494,0.94,0.056137789304229545
1,center,Linear,36,37.38680114692877,90.0,2.2892813177472453e-15,37.38680114692877,1.8487014287619734,1.8477246789094477,0.00021843862984862565,0.94,0.04969732567320806
1,center,Linear,37,37.38680114692877,112.5,-14.307309388057774,34.540900365716986,1.8649759876303564,1.8639541090814273,0.00016775186523900685,0.94,0.047059901044876506
1,center,Linear,38,37.38680114692877,135.0,-26.436460617866324,26.436460617866327,1.8466139450068826,1.8455224406366384,0.00014522706249987281,0.96,0.04911009151969536
1,center,Linear,39,37.38680114692877,157.5,-34.540900365716986,14.30730938805778,1.7922563234231177,1.7909542716283025,0.00015097643917702275,0.98,0.0528920460568056
1,center,Linear,40,42.678458852212536,0.0,42.678458852212536,0.0,1.7780126044667983,1.7763072857400692,0.00021374789940708134,0.92,0.052298761741842156
1,center,Linear,41,42.678458852212536,22.5,39.429754612684306,16.332339121616943,1.7390811487504625,1.737449752328116,0.0003080970278962698,0.89,0.05749257627620558
1,center,Linear,42,42.678458852212536,45.0,30.178227664990523,30.17822766499052,1.782177588720398,1.780986689386145,0.00031425600274937425,0.94,0.05882119139163696
1,center,Linear,43,42.678458852212536,67.5,16.332339121616947,39.429754612684306,1.853333406118542,1.852268607352011,0.0002320992325855043,0.94,0.05020687626365558
1,center,Linear,44,42.678458852212536,90.0,2.6133019012952052e-15,42.678458852212536,1.8985910819541305,1.8975286548496846,0.00015017764061347078,0.94,0.04159113297226824
1,center,Linear,45,42.678458852212536,112.5,-16.33233912161694,39.429754612684306,1.9120143320415028,1.9109604288862212,0.00011024156234361055,0.94,0.038370205641119925
1,center,Linear,46,42.678458852212536,135.0,-30.17822766499052,30.178227664990523,1.8968441630947914,1.8957381500590265,0.00010192738749272991,0.96,0.04123102628648448
1,center,Linear,47,42.678458852212536,157.5,-39.429754612684306,16.332339121616947,1.8495951416836047,1.8482678114852304,0.00012164723501099711,0.98,0.04752454750299666
1,center,Linear,48,47.71923537736118,0.0,47.71923537736118,0.0,1.827905391858915,1.826177060650763,0.00018460615839384736,0.92,0.048596423587804465
1,center,Linear,49,47.71923537736118,22.5,44.086824872232505,18.261360784046197,1.7912479958733445,1.7895252753246527,0.0002810354358937929,0.89,0.05496773598133706
1,center,Linear,50,47.71923537736118,45.0,33.742594928369094,33.74259492836909,1.831763192459217,1.8304546482712538,0.0002676843715130265,0.94,0.054466516189109276
1,center,Linear,51,47.71923537736118,67.5,18.2613607840462,44.086824872232505,1.8953749675451217,1.8942333177643522,0.00016889607495234671,0.94,0.04320930719914644
1,center,Linear,52,47.71923537736118,90.0,2.9219604431322252e-15,47.71923537736118,1.9329790585109274,1.931920030503961,9.493858744494048e-05,0.94,0.033339212958290176
1,center,Linear,53,47.71923537736118,112.5,-18.261360784046193,44.086824872232505,1.9435611019884274,1.9425573667253868,6.631847223026205e-05,0.94,0.029909089352444417
1,center,Linear,54,47.71923537736118,135.0,-33.74259492836909,33.742594928369094,1.9315803289010418,1.9305285417663958,6.567526656426293e-05,0.96,0.03315659691178012
1,center,Linear,55,47.71923537736118,157.5,-44.086824872232505,18.2613607840462,1.8921556311593437,1.8908624556769873,9.08123111789549e-05,0.98,0.04109563323912341
1,center,Linear,56,52.907051514897304,0.0,52.907051514897304,0.0,1.8699629084903813,1.8682653785508005,0.00014871541899134946,0.92,0.04360122241052858
1,center,Linear,57,52.907051514897304,22.5,48.87974202013389,20.246652070037523,1.8365797787991789,1.8348109012002225,0.00024100440646922727,0.89,0.0509534061347665
1,center,Linear,58,52.907051514897304,45.0,37.41093489876989,37.41093489876988,1.873410344800869,1.8720319327615649,0.00021239537064354492,0.94,0.04867997664882285
1,center,Linear,59,52.907051514897304,67.5,20.246652070037527,48.87974202013389,1.9280224929886371,1.9268753641848457,0.00011224656980428844,0.94,0.035527754929352166
1,center,Linear,60,52.907051514897304,90.0,3.2396225645021553e-15,52.907051514897304,1.957709436595343,1.9567300429034085,5.380986829180442e-05,0.94,0.02528070172044659
1,center,Linear,61,52.907051514897304,112.5,-20.24665207003752,48.87974202013389,1.9655717673118909,1.9646840962965455,3.5470810744017105e-05,0.94,0.02196690812239718
1,center,Linear,62,52.907051514897304,135.0,-37.41093489876988,37.41093489876989,1.9566516159090774,1.955711612480536,3.7908710894725306e-05,0.96,0.025227831543879045
1,center,Linear,63,52.907051514897304,157.5,-48.87974202013389,20.24665207003753,1.9253758994396206,1.924170639450331,6.194985876046779e-05,0.98,0.03396395331397221
1,center,Linear,64,58.608344115833866,0.0,58.608344115833866,0.0,1.9064771334925177,1.904871288621247,0.00010924844294723347,0.92,0.03734248648680235
1,center,Linear,65,58.608344115833866,22.5,54.14704956299722,22.428442291481616,1.877373349808649,1.87561192016619,0.0001910351235447082,0.89,0.04540612019632899
1,center,Linear,66,58.608344115833866,45.0,41.442357558420824,41.44235755842082,1.9094139028798842,1.9080241583642938,0.0001533151790034297,0.94,0.041505685859495836
1,center,Linear,67,58.608344115833866,67.5,22.42844229148162,54.14704956299722,1.953754934330514,1.9526794561849343,6.556765700277005e-05,0.94,0.027381003416324993
1,center,Linear,68,58.608344115833866,90.0,3.588726051239128e-15,58.608344115833866,1.9755176056261008,1.974687134887957,2.5960878663062284e-05,0.94,0.017665611603404373
1,center,Linear,69,58.608344115833866,112.5,-22.428442291481613,54.14704956299722,1.980867326782987,1.9801504284426668,1.5925437627589102e-05,0.94,0.014766853440564052
1,center,Linear,70,58.608344115833866,135.0,-41.44235755842082,41.442357558420824,1.9747822213150337,1.9740055715395055,1.8615427144083583e-05,0.96,0.017695384802881246
1,center,Linear,71,58.608344115833866,157.5,-54.14704956299722,22.428442291481623,1.9517182195496698,1.9506564680131948,3.7203446787165115e-05,0.98,0.026329192100683897
1,center,Linear,72,65.41974319729482,0.0,65.41974319729482,0.0,1.9387949355012,1.937361921516643,6.901916499862677e-05,0.92,0.029637235676195264
1,center,Linear,73,65.41974319729482,22.5,60.43996176212517,25.035051871183516,1.9151594761141895,1.9134824520122415,0.0001335022666462062,0.89,0.03798518942389721
