pi_true,seed,method,pi_post_mean,pi_post_sd,exact_pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.68,101,exact likelihood grid,0.5130912706351298,0.10951901843771436,0.10951901843771436,0.3169460167927478,0.5228483117894559,0.6739365810875572,0.027858523938195493,0.0,0.0,0.0
0.68,101,raw data NPE,0.4923243224620819,0.11327444761991501,0.10951901843771436,0.29221573024988173,0.5051461160182953,0.6547467321157455,0.035222159939316634,0.0004312661364220582,0.020702913308718342,0.0
0.68,102,exact likelihood grid,0.4154554703189747,0.12129254869593808,0.12129254869593808,0.2151809512069712,0.4150289947106372,0.6178997184479152,0.06998380818415492,0.0,0.0,0.0
0.68,102,raw data NPE,0.4462437629699707,0.12121646851301193,0.12129254869593808,0.23679051846265795,0.45402437448501587,0.6314627259969712,0.05464197835043926,0.0009479189643633761,0.030880963538085587,0.0
0.68,103,exact likelihood grid,0.5964647614724545,0.07801068458760446,0.07801068458760446,0.4455163371694125,0.6123979284246437,0.6918810085101789,0.006978136075853925,0.0,0.0,1.0
0.68,103,raw data NPE,0.5673616528511047,0.08707523345947266,0.07801068458760446,0.40725357830524445,0.587184488773346,0.6809278339147568,0.012687397248435053,0.0008469909314260846,0.029045608398837568,1.0
0.68,104,exact likelihood grid,0.5548158063088883,0.09875955708647012,0.09875955708647012,0.3697856132035504,0.5699870343999721,0.6860176385660162,0.01567108235009379,0.0,0.0,1.0
0.68,104,raw data NPE,0.5339465737342834,0.09863921254873276,0.09875955708647012,0.3460171937942505,0.55186727643013,0.6682465374469757,0.021331603323955117,0.0004355248682529471,0.02080787886149036,0.0
0.68,105,exact likelihood grid,0.6438836967407102,0.0509494809734421,0.0509494809734421,0.5411508707063111,0.6583253676838199,0.696784060648843,0.0013043873611169891,0.0,0.0,1.0
0.68,105,raw data NPE,0.6203106045722961,0.06041186302900314,0.0509494809734421,0.5069579929113388,0.6341584026813507,0.6901959776878357,0.0035628239265248,0.0005556906743805452,0.0235097667176064,1.0
0.68,106,exact likelihood grid,0.6015556341208992,0.07545470333358552,0.07545470333358552,0.45480816535737495,0.6175955282423465,0.6925203671011083,0.006153518538174244,0.0,0.0,1.0
0.68,106,raw data NPE,0.5838896632194519,0.08150407671928406,0.07545470333358552,0.4305571481585503,0.6027186810970306,0.683923426270485,0.009237196836070386,0.0003120865278907821,0.017602384419440512,1.0
0.68,107,exact likelihood grid,0.6117203095978213,0.07336895105608848,0.07336895105608848,0.46585081008189066,0.6300858613271982,0.6942163545529662,0.00466211612141738,0.0,0.0,1.0
0.68,107,raw data NPE,0.5539235472679138,0.08106137812137604,0.07336895105608848,0.39942835420370104,0.5687744617462158,0.6626036167144775,0.015895271933505973,0.003340465735819814,0.05773344450329763,0.0
0.68,108,exact likelihood grid,0.6373756379496303,0.05659296064050608,0.05659296064050608,0.5232028880548241,0.6533631942729253,0.696395648710675,0.0018168362402010043,0.0,0.0,1.0
0.68,108,raw data NPE,0.6118930578231812,0.061565689742565155,0.05659296064050608,0.4962335631251335,0.6265890896320343,0.6863598555326462,0.004638555572676553,0.000649361889900899,0.025419265722985203,1.0
0.68,109,exact likelihood grid,0.4505683339640377,0.12069386530928969,0.12069386530928969,0.2464755416117598,0.4530887678839009,0.6458789684610251,0.05263888938003735,0.0,0.0,0.0
0.68,109,raw data NPE,0.46417880058288574,0.1181194931268692,0.12069386530928969,0.2467993676662445,0.4736644774675369,0.6405757904052735,0.04657879011784182,0.00018524480158277614,0.014877965811519463,0.0
