pi_true,seed,method,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_sd,q05,q50,q95,pi_sq_err,mean_sq_err_to_exact,w1_to_exact,coverage90
0.1,107,pilot-only NPE,-1.1929938793182373,0.23272391050231983,interior,nan,0.2806004285812378,0.11653004586696625,0.11097478121519089,0.26980431377887726,0.48815619200468063,0.03261651480372677,0.008419273122055839,0.09182333455495077,0.0
0.1,107,linear FSM pilot+score NPE,-1.1929938793182373,0.23272391050231983,interior,-1.2401440143585205,0.1924082189798355,0.07375950366258621,0.08615224063396454,0.1853206679224968,0.32609747946262363,0.00853927893502523,1.27048586551959e-05,0.004857413057728543,1.0
0.1,107,shared-raw-gate FSM pilot+score NPE,-1.1929938793182373,0.23272391050231983,interior,-1.2507565021514893,0.1963651329278946,0.07574552297592163,0.08935183957219124,0.189063161611557,0.3311224907636643,0.009286238844210794,5.656997632725974e-05,0.00799419283103754,1.0
0.1,108,exact likelihood grid,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.1426076737825841,0.05971971391035383,0.06296083570985017,0.13310499022203284,0.25465572596580677,0.001815413865163104,0.0,0.0,1.0
0.1,108,pilot-only NPE,-2.944438934326172,0.050000002129912804,left_boundary,nan,0.12421899288892746,0.06490644812583923,0.05811375360935926,0.10444418713450432,0.2552874565124512,0.0005865596165539185,0.00033814358500873276,0.019848697019446776,1.0
0.1,108,linear FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.4032062888145447,0.12967203557491302,0.05949860438704491,0.05872116331011057,0.1170978844165802,0.24895760938525202,0.0008804296951589038,0.00016733073583975972,0.01286922505515656,1.0
0.1,108,shared-raw-gate FSM pilot+score NPE,-2.944438934326172,0.050000002129912804,left_boundary,0.8597411513328552,0.13615871965885162,0.06233622133731842,0.06118503957986832,0.12193845212459564,0.25540961027145387,0.0013074530073674225,4.15890092900061e-05,0.00681739298585278,1.0
0.1,109,exact likelihood grid,-2.806435137806505,0.05697742217061196,interior,nan,0.14261276451011906,0.060559558600485314,0.0626291292114266,0.1326243378237185,0.25667123396633407,0.0018158476991948622,0.0,0.0,1.0
0.1,109,pilot-only NPE,-2.8064351081848145,0.05697742376221491,interior,nan,0.1453046053647995,0.07454422861337662,0.06162048578262329,0.12696082890033722,0.2924068108201027,0.002052507267260219,7.2460071869267135e-06,0.010289390125350437,1.0
0.1,109,linear FSM pilot+score NPE,-2.8064351081848145,0.05697742376221491,interior,1.1494276523590088,0.17068897187709808,0.07661260664463043,0.0681909203529358,0.15856880694627762,0.31565944105386734,0.004996930745041163,0.0007882734201136071,0.02814294749432642,1.0
0.1,109,shared-raw-gate FSM pilot+score NPE,-2.8064351081848145,0.05697742376221491,interior,1.4193286895751953,0.16373367607593536,0.07434698194265366,0.06685054115951061,0.15026534348726273,0.30117378979921344,0.004061981466152255,0.00044609290537103285,0.021187648148922513,1.0
0.3,100,exact likelihood grid,-1.620082339895767,0.1651935148257476,interior,nan,0.27823829698204466,0.08481298127439783,0.14882659861285152,0.2724518212219317,0.42707917493940556,0.0004735717182416859,0.0,0.0,1.0
0.3,100,pilot-only NPE,-1.6200823783874512,0.16519350951756667,interior,nan,0.22537805140018463,0.10581570863723755,0.07935274504125119,0.20797593891620636,0.4213111683726311,0.005568435212833485,0.002794205562974553,0.053900971365948715,1.0
0.3,100,linear FSM pilot+score NPE,-1.6200823783874512,0.16519350951756667,interior,0.7641430497169495,0.22471465170383453,0.08315102756023407,0.09942157715559005,0.21684958040714264,0.372166058421135,0.005667883668074943,0.0028647806038676654,0.053457532090921085,1.0
