method,seed,pi_true,pilot_u_context,pilot_pi_context,pilot_status,score_context,pi_post_mean,pi_post_std,pi_q05,pi_q50,pi_q95,pi_sq_err,pi_coverage90,exact_pi_post_mean,exact_pi_post_std,exact_pi_q05,exact_pi_q50,exact_pi_q95,mean_abs_err_to_exact,mean_sq_err_to_exact,sd_abs_err_to_exact,q05_abs_err_to_exact,q50_abs_err_to_exact,q95_abs_err_to_exact,w1_to_exact,cdf_at_true,exact_cdf_at_true,cdf_at_true_abs_err_to_exact
radial FSM pilot+score NPE,108,0.07,-1.419377001621663,0.19475926866163112,interior,-0.7129389643669128,0.18964652717113495,0.09651011973619461,0.06540946289896965,0.1755225583910942,0.37051222473382955,0.014315291464113132,1.0,0.17893486263643124,0.09919539889972874,0.06007121096686273,0.15725514870960955,0.37255307265399507,0.010711664534703708,0.0001147397571040292,0.0026852791635341294,0.005338251932106922,0.01826740968148466,0.0020408479201655116,0.011452808284253407,0.0684,0.0991291627886325,0.030729162788632497
exact likelihood grid,109,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.13708526761454617,0.074577607492677,0.055344223342857254,0.11741462966401366,0.28590915987662563,0.004500433130915277,1.0,0.13708526761454617,0.074577607492677,0.055344223342857254,0.11741462966401366,0.28590915987662563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17543736818025182,0.17543736818025182,0.0
pilot-only NPE,109,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,nan,0.15006402134895325,0.0827026292681694,0.05865441840142012,0.12934641540050507,0.30651920884847644,0.00641024751456564,1.0,0.13708526761454617,0.074577607492677,0.055344223342857254,0.11741462966401366,0.28590915987662563,0.012978753734407072,0.00016844804849838553,0.008125021775492403,0.0033101950585628648,0.01193178573649141,0.020610048971850814,0.013045677158649844,0.1522,0.17543736818025182,0.02323736818025182
linear FSM pilot+score NPE,109,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,0.2512272000312805,0.12920038402080536,0.07107774168252945,0.056293122842907904,0.10863839462399483,0.27228565216064454,0.0035046854682108256,1.0,0.13708526761454617,0.074577607492677,0.055344223342857254,0.11741462966401366,0.28590915987662563,0.007884883593740816,6.217138928684307e-05,0.003499865810147551,0.0009488995000506498,0.008776235040018829,0.013623507715981087,0.008249945385621458,0.1976,0.17543736818025182,0.022162631819748174
radial FSM pilot+score NPE,109,0.07,-2.9444389791664403,0.05000000000000002,left_boundary,-0.15204575657844543,0.12904267013072968,0.06870683282613754,0.0559848815202713,0.10876943171024323,0.2609980598092079,0.0034860368961661574,1.0,0.13708526761454617,0.074577607492677,0.055344223342857254,0.11741462966401366,0.28590915987662563,0.0080425974838165,6.468337428669149e-05,0.005870774666539458,0.0006406581774140441,0.008645197953770431,0.024911100067417702,0.008143605929516465,0.2072,0.17543736818025182,0.03176263181974817
exact likelihood grid,100,0.1,-1.4940003825547574,0.18332205094876383,interior,nan,0.21531928793208907,0.10131454116951828,0.0748965172398188,0.20151785463089644,0.4031328386876434,0.013298538169164063,1.0,0.21531928793208907,0.10131454116951828,0.0748965172398188,0.20151785463089644,0.4031328386876434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11970950520270186,0.11970950520270186,0.0
pilot-only NPE,100,0.1,-1.4940003825547574,0.18332205094876383,interior,nan,0.23388978838920593,0.11506249755620956,0.07235113605856895,0.21903690695762634,0.45105945169925704,0.01792647543490634,1.0,0.21531928793208907,0.10131454116951828,0.0748965172398188,0.20151785463089644,0.4031328386876434,0.018570500457116862,0.0003448634872277776,0.013747956386691282,0.002545381181249848,0.0175190523267299,0.04792661301161366,0.019020645465257696,0.1174,0.11970950520270186,0.0023095052027018587
linear FSM pilot+score NPE,100,0.1,-1.4940003825547574,0.18332205094876383,interior,-0.2044031023979187,0.21330834925174713,0.10565198957920074,0.07120794430375099,0.19607137888669968,0.41741498708724994,0.012838782010155904,1.0,0.21531928793208907,0.10131454116951828,0.0748965172398188,0.20151785463089644,0.4031328386876434,0.0020109386803419393,4.043874376095381e-06,0.004337448409682462,0.0036885729360678077,0.005446475744196766,0.014282148399606565,0.005268699172546248,0.1306,0.11970950520270186,0.01089049479729813
radial FSM pilot+score NPE,100,0.1,-1.4940003825547574,0.18332205094876383,interior,-0.2672731876373291,0.21227551996707916,0.10518714040517807,0.0706311222165823,0.19713367521762848,0.40847366303205496,0.012605792383877991,1.0,0.21531928793208907,0.10131454116951828,0.0748965172398188,0.20151785463089644,0.4031328386876434,0.003043767965009908,9.264523424820557e-06,0.0038725992356597877,0.004265395023236501,0.0043841794132679635,0.005340824344411577,0.005045797586932981,0.1416,0.11970950520270186,0.02189049479729814
exact likelihood grid,101,0.1,-2.574108023803574,0.07082348813294585,interior,nan,0.18483399248203555,0.08951316526489674,0.0663048492691658,0.17028929920656835,0.35354830497255824,0.007196806280442064,1.0,0.18483399248203555,0.08951316526489674,0.0663048492691658,0.17028929920656835,0.35354830497255824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18164069856910947,0.18164069856910947,0.0
pilot-only NPE,101,0.1,-2.574108023803574,0.07082348813294585,interior,nan,0.17159314453601837,0.09092095494270325,0.061122342385351656,0.1546640694141388,0.346415838599205,0.005125578344555216,1.0,0.18483399248203555,0.08951316526489674,0.0663048492691658,0.17028929920656835,0.35354830497255824,0.013240847946017181,0.00017532005432954742,0.0014077896778065119,0.005182506883814143,0.015625229792429557,0.007132466373353241,0.013381047165825152,0.2542,0.18164069856910947,0.07255930143089051
linear FSM pilot+score NPE,101,0.1,-2.574108023803574,0.07082348813294585,interior,0.20707695186138153,0.16517756879329681,0.08539208024740219,0.06405984684824943,0.14802612364292145,0.3356550365686417,0.004248115473804938,1.0,0.18483399248203555,0.08951316526489674,0.0663048492691658,0.17028929920656835,0.35354830497255824,0.01965642368873874,0.00038637499223120945,0.004121085017494544,0.002245002420916367,0.022263175563646903,0.01789326840391653,0.01964761104229816,0.2462,0.18164069856910947,0.06455930143089053
radial FSM pilot+score NPE,101,0.1,-2.574108023803574,0.07082348813294585,interior,0.09919464588165283,0.1770247519016266,0.08952925354242325,0.06515517123043538,0.1599661409854889,0.3478378236293793,0.005932812405507128,1.0,0.18483399248203555,0.08951316526489674,0.0663048492691658,0.17028929920656835,0.35354830497255824,0.007809240580408966,6.098423844270616e-05,1.6088277526513095e-05,0.0011496780387304228,0.01032315822107946,0.005710481343178919,0.007898718400337974,0.2134,0.18164069856910947,0.031759301430890535
exact likelihood grid,102,0.1,-2.9308411090321433,0.05064986537117036,interior,nan,0.14692857247650776,0.07766250760999388,0.05704457270444448,0.12863089776681266,0.2995968242542583,0.0022022909146828407,1.0,0.14692857247650776,0.07766250760999388,0.05704457270444448,0.12863089776681266,0.2995968242542583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364876467277958,0.3364876467277958,0.0
pilot-only NPE,102,0.1,-2.9308411090321433,0.05064986537117036,interior,nan,0.15340499579906464,0.08340348303318024,0.0584170063957572,0.1349126175045967,0.3135549351572991,0.002852093576298111,1.0,0.14692857247650776,0.07766250760999388,0.05704457270444448,0.12863089776681266,0.2995968242542583,0.006476423322556879,4.194405905295869e-05,0.005740975423186356,0.0013724336913127216,0.006281719737784047,0.013958110903040777,0.007295812085816786,0.3444,0.3364876467277958,0.007912353272204187
linear FSM pilot+score NPE,102,0.1,-2.9308411090321433,0.05064986537117036,interior,0.45820796489715576,0.1642581671476364,0.08431056141853333,0.061865150555968286,0.14653250575065613,0.3329857155680657,0.004129112045173579,1.0,0.14692857247650776,0.07766250760999388,0.05704457270444448,0.12863089776681266,0.2995968242542583,0.017329594671128656,0.00030031485146561073,0.006648053808539445,0.004820577851523809,0.017901607983843465,0.0333888913138074,0.017396471471990374,0.2424,0.3364876467277958,0.09408764672779579
